# sweep_type: output
# time: 1675794737.6713588
# time_str: 07/02/2023 13:32
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
0.000000000000000000e+00,-3.065580000000000111e-07,-3.121499999999999993e-07,5.591999999999999715e-09,-1.349054860000000080e-06,-1.347480000000000099e-06,-1.574860000000000081e-09
1.000000000000000056e-01,2.491390313799999993e-04,2.491449999999999871e-04,-5.968620000000000013e-09,3.003025919900000019e-04,3.003039999999999898e-04,-1.408009999999999980e-09
2.000000000000000111e-01,4.847945917799999834e-04,4.848009999999999819e-04,-6.408220000000000025e-09,5.956730451599999941e-04,5.956719999999999984e-04,1.045159999999999935e-09
3.000000000000000444e-01,7.178666265799999628e-04,7.178729999999999487e-04,-6.373420000000000104e-09,8.790962130299999995e-04,8.790949999999999849e-04,1.213030000000000101e-09
4.000000000000000222e-01,9.375117079500000852e-04,9.375180000000000319e-04,-6.292049999999999587e-09,1.153061379890000029e-03,1.153060000000000022e-03,1.379890000000000081e-09
5.000000000000000000e-01,1.149903782660000040e-03,1.149910000000000081e-03,-6.217340000000000370e-09,1.425042530980000048e-03,1.425040000000000031e-03,2.530979999999999877e-09
6.000000000000000888e-01,1.349984520109999810e-03,1.349989999999999914e-03,-5.479889999999999778e-09,1.691852655859999973e-03,1.691849999999999951e-03,2.655859999999999967e-09
7.000000000000000666e-01,1.542754674660000089e-03,1.542760000000000008e-03,-5.325339999999999728e-09,1.941012786889999980e-03,1.941009999999999958e-03,2.786890000000000082e-09
8.000000000000000444e-01,1.733794752449999968e-03,1.733799999999999968e-03,-5.247549999999999731e-09,2.183722894880000317e-03,2.183720000000000105e-03,2.894879999999999830e-09
9.000000000000000222e-01,1.905484899829999832e-03,1.905489999999999918e-03,-5.100169999999999770e-09,2.420413005440000178e-03,2.420410000000000009e-03,3.005439999999999912e-09
1.000000000000000000e+00,2.080175017020000072e-03,2.080180000000000050e-03,-4.982980000000000095e-09,2.645913028469999966e-03,2.645910000000000015e-03,3.028469999999999986e-09
1.100000000000000089e+00,2.229055116310000011e-03,2.229060000000000156e-03,-4.883689999999999707e-09,2.860653090910000342e-03,2.860650000000000172e-03,3.090910000000000031e-09
1.200000000000000178e+00,2.380085270859999894e-03,2.380090000000000070e-03,-4.729139999999999656e-09,3.079263244460000038e-03,3.079259999999999897e-03,3.244460000000000188e-09
1.300000000000000044e+00,2.521655381399999941e-03,2.521659999999999787e-03,-4.618599999999999747e-09,3.276363352959999788e-03,3.276359999999999863e-03,3.352959999999999969e-09
1.400000000000000133e+00,2.645905531339999821e-03,2.645910000000000015e-03,-4.468660000000000159e-09,3.464423529030000257e-03,3.464420000000000173e-03,3.529030000000000168e-09
1.500000000000000000e+00,2.763386449950000056e-03,2.763390000000000117e-03,-3.550050000000000164e-09,3.655493731709999992e-03,3.655489999999999955e-03,3.731710000000000134e-09
1.600000000000000089e+00,2.870976606029999965e-03,2.870979999999999973e-03,-3.393970000000000016e-09,3.824183825380000120e-03,3.824179999999999940e-03,3.825379999999999874e-09
